Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
1.4e-4,1.4e-4,0.19973,0.03672,0.27569,0.08529,1.4e-4,1.4e-4,0.23193,0.1701
0.11453,0.6021,0.24738,2.8e-4,0.03429,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4
2.6e-4,0.18504,0.81291,2.6e-4,2.6e-4,2.6e-4,2.6e-4,2.6e-4,2.6e-4,2.6e-4
0.1944,3.8e-4,0.43911,3.8e-4,3.8e-4,3.8e-4,0.36383,3.8e-4,3.8e-4,3.8e-4
0.07047,9.6e-4,0.73417,0.13035,0.05924,9.6e-4,9.6e-4,9.6e-4,9.6e-4,9.6e-4
6e-4,6e-4,0.28041,6e-4,0.06809,0.09627,0.52009,0.03217,6e-4,6e-4
0.02135,5.9e-4,0.12549,0.23509,5.9e-4,0.33066,0.28446,5.9e-4,5.9e-4,5.9e-4
4.3e-4,4.3e-4,0.94068,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,0.05585
1.6e-4,1.6e-4,1.6e-4,1.6e-4,0.01668,1.6e-4,0.08417,0.02663,1.6e-4,0.87153
0.17349,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,2.7e-4,0.78532,0.0393
0.98269,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192,0.00192
4.3e-4,4.3e-4,0.49448,4.3e-4,4.3e-4,4.3e-4,0.50207,4.3e-4,4.3e-4,4.3e-4
3.3e-4,3.3e-4,0.55156,3.3e-4,3.3e-4,0.28142,0.16475,3.3e-4,3.3e-4,3.3e-4
2.1e-4,2.1e-4,0.7214,2.1e-4,2.1e-4,0.18728,2.1e-4,0.05922,0.03082,2.1e-4
4.3e-4,4.3e-4,4.3e-4,0.43056,4.3e-4,0.47707,4.3e-4,4.3e-4,0.08938,4.3e-4
2.9e-4,0.06487,2.9e-4,0.20066,0.43687,2.9e-4,0.02091,2.9e-4,0.27525,2.9e-4
0.0125,0.0125,0.0125,0.0125,0.01251,0.0125,0.0125,0.01251,0.88748,0.0125
5.5e-4,0.37774,5.5e-4,0.02112,0.37414,0.09247,5.5e-4,0.13176,5.5e-4,5.5e-4
7.8e-4,7.8e-4,0.38457,0.06126,7.8e-4,7.8e-4,7.8e-4,7.8e-4,7.8e-4,0.5487
4.7e-4,4.7e-4,0.26238,4.7e-4,4.7e-4,4.7e-4,0.2759,4.7e-4,0.45841,4.7e-4
0.15245,6.1e-4,0.37187,6.1e-4,6.1e-4,6.1e-4,0.01567,6.1e-4,0.45633,6.1e-4
4.8e-4,4.8e-4,0.94417,4.8e-4,0.052,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4
4.2e-4,0.02626,0.23379,0.26515,4.2e-4,0.01704,0.24596,4.2e-4,0.21011,4.2e-4
0.04752,0.43127,4.2e-4,4.2e-4,4.2e-4,0.0677,4.2e-4,4.2e-4,0.45101,4.2e-4
7.3e-4,7.3e-4,0.87516,7.3e-4,7.3e-4,7.3e-4,0.02354,7.3e-4,7.3e-4,0.0962
4.2e-4,4.2e-4,0.99622,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4
0.17017,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.54689,4.7e-4,4.7e-4,0.17033,0.10982
1.3e-4,0.01501,1.3e-4,1.3e-4,1.3e-4,1.3e-4,1.3e-4,0.46129,1.3e-4,0.5228
0.02715,0.06049,0.20461,0.16316,0.29828,4.7e-4,4.7e-4,4.7e-4,0.17705,0.06786
4.3e-4,0.62394,4.3e-4,4.3e-4,4.3e-4,0.05996,4.3e-4,4.3e-4,0.31307,4.3e-4
0.11546,3.5e-4,0.22559,0.09616,3.5e-4,0.56069,3.5e-4,3.5e-4,3.5e-4,3.5e-4
1.6e-4,1.6e-4,0.98545,1.6e-4,1.6e-4,1.6e-4,0.01323,1.6e-4,1.6e-4,1.6e-4
0.32563,0.00278,0.221,0.43392,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278
5.8e-4,0.38402,5.8e-4,0.22452,5.8e-4,5.8e-4,0.03317,5.8e-4,0.26672,0.08864
